article_id,prod_name,colour_group_name,graphical_appearance_name,garment_group_name,detail_desc,price_low,price_mid,price_high
539723005,Jade Denim TRS,Light Blue,Solid,Trousers,"High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and super-skinny legs.",9.36,16.79,19.99
539723038,Jade Denim TRS,Greenish Khaki,Solid,Trousers,"High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and super-skinny legs.",1.49,10.99,19.99
540768002,Tech Stretch Skinny,Black,Denim,Trousers Denim,"5-pocket denim jeans with ultra-flexible stretch that keeps them in shape while providing full movement and optimum comfort. Regular waist, zip fly and button, and skinny legs.",37.49,46.03,49.99
547780001,Basic sweatpants,Black,Solid,Jersey Basic,"Trousers in soft sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems. Soft brushed inside.",10.49,13.77,14.99
547780002,Basic sweatpants,Black,Melange,Jersey Basic,"Trousers in soft sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems. Soft brushed inside.",7.99,12.74,14.99
547780003,Basic sweatpants,Grey,Melange,Jersey Basic,"Trousers in soft sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems. Soft brushed inside.",2.99,12.74,14.99
547780004,Basic sweatpants 1,Dark Blue,Melange,Jersey Basic,"Trousers in soft sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems. Soft brushed inside.",2.09,10.99,14.99
547780015,Basic sweatpants 1,Greenish Khaki,Solid,Jersey Basic,"Trousers in soft sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems. Soft brushed inside.",2.99,11.99,14.99
547780020,Basic sweatpants 1,Black,Contrast,Jersey Basic,"Trousers in soft sweatshirt fabric with an elasticated drawstring waist, side pockets and ribbed hems. Soft brushed inside.",5.99,13.28,14.99
552370002,SKINNY PRICE,Black,Solid,Trousers Denim,"Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly, fake front pockets, real back pockets and narrow hems.",4.99,8.99,9.99
554450001,Julia RW Skinny Denim TRS,Black,Solid,Trousers,5-pocket jeans in superstretch washed denim with a regular waist and super-skinny legs.,7.99,15.99,19.99
554450004,Julia RW Skinny Denim TRS,Light Blue,Solid,Trousers,5-pocket jeans in superstretch washed denim with a regular waist and super-skinny legs.,11.99,16.14,19.99
554450005,Julia RW Denim TRS,Dark Blue,Solid,Trousers,5-pocket jeans in superstretch washed denim with a regular waist and super-skinny legs.,1.69,9.99,19.99
554450027,Julia RW Skinny Denim TRS,Dark Grey,Solid,Trousers,5-pocket jeans in superstretch washed denim with a regular waist and super-skinny legs.,14.99,17.99,19.99
554477005,Victoria RW Pull- On TRS,Black,Solid,Trousers,"Ankle-length trousers in an airy viscose weave with a regular, elasticated waist, side pockets and slightly wider, tapered legs.",1.19,7.26,9.99
562245001,Luna skinny RW,Black,Solid,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",4.99,16.91,19.99
562245006,Luna skinny 5 pkt,Grey,Denim,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",2.99,15.99,19.99
562245018,Luna skinny RW,Blue,Denim,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",5.59,15.99,19.99
562245042,Luna skinny RW,Dark Grey,Denim,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",7.99,16.99,19.99
562245046,Luna skinny RW,Black,Solid,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",9.99,17.99,19.99
562245054,Luna skinny RW,Greenish Khaki,Solid,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",4.99,9.99,19.99
562245058,Luna skinny RW,Black,Solid,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",4.99,12.99,19.99
562245059,Luna skinny RW,Blue,Denim,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",6.49,15.99,19.99
562245062,Luna skinny RW,Dark Grey,Denim,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",5.49,15.99,19.99
562245063,Luna skinny RW,Grey,Denim,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",6.49,17.38,19.99
562245064,Luna skinny RW,Light Blue,Denim,Trousers,"5-pocket jeans in washed, superstretch denim with a regular waist, zip fly and button, and skinny legs.",8.99,17.32,19.99
562252001,Space 5 pkt tregging,Black,Solid,Trousers,"Skinny-fit treggings in superstretch twill with an elasticated waist, fake front pockets and real back pockets.",2.99,10.49,14.99
562252014,Space jegging,Dark Grey,Denim,Trousers,"Skinny-fit treggings in superstretch twill with an elasticated waist, fake front pockets and real back pockets.",4.49,11.99,14.99
562252028,Space 5 pkt tregging,Black,Solid,Trousers,"Skinny-fit treggings in superstretch twill with an elasticated waist, fake front pockets and real back pockets.",6.99,10.99,14.99
562252031,Space 5 pkt tregging,Dark Grey,Denim,Trousers,"Skinny-fit treggings in superstretch twill with an elasticated waist, fake front pockets and real back pockets.",4.21,11.99,14.99
562252032,Space 5 pkt tregging,Dark Blue,Denim,Trousers,"Skinny-fit treggings in superstretch twill with an elasticated waist, fake front pockets and real back pockets.",4.99,11.99,14.99
562252035,Space 5 pkt tregging,Blue,Denim,Trousers,"Skinny-fit treggings in superstretch twill with an elasticated waist, fake front pockets and real back pockets.",4.99,11.99,14.99
568597006,Hayes slim trouser,Black,Solid,Trousers,"Suit trousers in a stretch weave with a regular waist, zip fly and concealed hook-and-eye fastening. Side pockets and tapered legs with creases.",20.99,22.49,24.99
568597007,Hayes slim trouser,Dark Blue,Solid,Trousers,"Suit trousers in a stretch weave with a regular waist, zip fly and concealed hook-and-eye fastening. Side pockets and tapered legs with creases.",11.99,21.24,24.99
568597009,Hayes,Light Grey,Solid,Trousers,"Suit trousers in a stretch weave with a regular waist, zip fly and concealed hook-and-eye fastening. Side pockets and tapered legs with creases.",7.99,20.99,24.99
568808001,Vermont Summer Slacks,Black,Solid,Trousers,"Ankle-length, tailored trousers in woven fabric with a hook-and-eye fastening, zip fly and straight-cut legs that taper to the hem with creases. Slits at the hems.",18.74,22.49,24.99
569978016,TUCK CLASSIC JOGGER,Black,Melange,Jersey Basic,"Trousers in cotton-blend slub jersey with an elasticated drawstring waist, slightly lower crotch, gently tapered legs, side pockets and ribbed hems. Regular fit.",3.99,9.99,19.99
573085004,Madison skinny HW (1),Blue,Denim,Trousers,"5-pocket jeans in washed stretch denim with a high waist, zip fly and slim legs.",2.76,9.99,19.99
573085019,Madison skinny HW (1),Dark Blue,Denim,Trousers,"5-pocket jeans in washed stretch denim with a high waist, zip fly and slim legs.",5.99,16.66,19.99
573085028,Madison skinny HW,Black,Solid,Trousers,"5-pocket jeans in washed stretch denim with a high waist, zip fly and slim legs.",4.5,15.99,19.99
573716002,Kanta slacks,Dark Blue,Solid,Trousers,"Ankle-length cigarette trousers in a stretch weave with a regular waist, concealed zip in one side, fake back pockets and tapered legs with slits at the hems.",4.19,10.99,14.99
573716012,Kanta slacks RW,Black,Solid,Trousers,"Ankle-length cigarette trousers in a stretch weave with a regular waist, concealed zip in one side, fake back pockets and tapered legs with slits at the hems.",7.99,13.49,14.99
583534002,Bradley,Black,Solid,Jersey Basic,"Joggers in lightweight sweatshirt fabric with wide elastication and a drawstring at the waist, and ribbed hems.",7.49,8.94,9.99
583534009,Bradley,Dark Grey,Melange,Jersey Basic,"Joggers in lightweight sweatshirt fabric with wide elastication and a drawstring at the waist, and ribbed hems.",4.99,8.49,9.99
588689013,Solange 5 pkt,Greenish Khaki,Treatment,Trousers,"5-pocket trousers in washed, superstretch twill with a regular waist, zip fly and button and skinny legs.",3.99,9.99,19.99
589222005,Skinny H.W Air,Blue,Denim,Trousers Denim,"High-waisted jeans in stretch denim with a zip fly and button, fake front pockets, real back pockets and skinny legs.",5.49,10.99,19.99
598859001,Sky wide trousers,Black,Solid,Trousers,"Trousers in woven fabric with a high waist, concealed hook-and-eye fastener, zip fly and straight, wide legs with creases.",17.49,29.34,34.99
599502001,Kia Paperbag (1),Black,Solid,Trousers,"Ankle-length trousers in woven fabric with a high, paper bag waist with pleats and a detachable tie belt. Zip fly with a concealed hook-and-eye fastener, side pockets, fake back pockets and wide legs that taper to the hem.",11.99,25.49,29.99
621381001,Jade Trash HW Skinny Denim TRS,Light Blue,Solid,Trousers,"High-waisted jeans in washed superstretch denim with hard-worn details, a zip fly and button, back pockets and skinny legs.",5.99,17.64,19.99
621381009,Jade Trash HW Skinny Denim TRS,Light Blue,Solid,Trousers,"High-waisted jeans in washed superstretch denim with hard-worn details, a zip fly and button, back pockets and skinny legs.",14.99,18.18,19.99
636323002,Skinny H.W Ankle Queens,White,Denim,Trousers Denim,"Ankle-length jeans in washed, stretch denim with a high waist, zip fly and button, back pockets and skinny legs.",4.67,8.66,9.99
640021005,Perrie Trash HW Denim TRS,Blue,Solid,Trousers,"5-pocket, ankle-length jeans in washed denim with hard-worn details. Extra-high waist, a button fly and gently tapered legs with raw-edge hems.",7.99,25.49,29.99
642437006,Fancy Pants (1),Black,Stripe,Trousers,"Ankle-length jersey trousers with an elasticated waist, side pockets and gently tapered legs with sewn-in turn-ups at the hems.",5.49,14.99,19.99
649671002,DeLuca pull-on jogger RW,Dark Blue,Stripe,Trousers,"Joggers in soft twill with a regular, elasticated drawstring waist, side pockets, fake back pockets and tapered legs.",12.49,21.2,24.99
655784001,Noa skinny trouser,Black,Solid,Trousers,"Trousers in stretch twill with a high, elasticated waist and a concealed zip in one side. Fake welt pockets at the back and slim legs with creases and short slits at the hems.",8.45,16.51,19.99
658030001,Push Up Jegging L.W,Black,Denim,Trousers Denim,"5-pocket jeggings in washed, stretch denim with a low waist, zip fly and button, and skinny legs. Push up – denim with a superstretch function that showcases the body’s physique.",22.49,26.56,29.99
658030005,Push Up Jegging L.W,Blue,Denim,Trousers Denim,"5-pocket jeggings in washed, stretch denim with a low waist, zip fly and button, and skinny legs. Push up – denim with a superstretch function that showcases the body’s physique.",21.86,25.99,29.99
658030020,Push Up Jegging L.W,Black,Solid,Trousers Denim,"5-pocket jeggings in washed, stretch denim with a low waist, zip fly and button, and skinny legs. Push up – denim with a superstretch function that showcases the body’s physique.",22.49,27.49,29.99
660308001,Gemma Woven TRS,Black,Solid,Trousers,"Trousers in a crêpe weave with elastication at the back of the waist and pleats at the front. Zip fly and button, a low crotch and wide, gently tapered legs.",8.0,12.0,14.99
660308002,Gemma Woven TRS,Black,Stripe,Trousers,"Trousers in a crêpe weave with elastication at the back of the waist and pleats at the front. Zip fly and button, a low crotch and wide, gently tapered legs.",4.49,11.24,14.99
660308008,Gemma Woven TRS,White,Check,Trousers,"Trousers in a crêpe weave with elastication at the back of the waist and pleats at the front. Zip fly and button, a low crotch and wide, gently tapered legs.",3.56,12.59,14.99
660308009,Gemma Woven TRS,Dark Beige,Check,Trousers,"Trousers in a crêpe weave with elastication at the back of the waist and pleats at the front. Zip fly and button, a low crotch and wide, gently tapered legs.",1.99,7.99,14.99
660712014,Kaj tapered,Dark Grey,Melange,Trousers,"Ankle-length trousers in woven fabric with a high, elasticated waist, detachable tie belt, zip fly with a concealed hook-and-eye fastening, side pockets and tapered legs with creases.",5.69,9.93,24.99
661306001,Enter treggings,Black,Solid,Trousers,"Treggings in stretch twill with a high, elasticated waist and slim legs.",0.99,6.99,9.99
661306005,Enter treggings,Black,Treatment,Trousers,"Treggings in stretch twill with a high, elasticated waist and slim legs.",2.99,6.99,9.99
661306007,Enter treggings,Dark Grey,Solid,Trousers,"Treggings in stretch twill with a high, elasticated waist and slim legs.",1.99,5.99,9.99
661306008,Enter treggings,Yellowish Brown,All over pattern,Trousers,"Treggings in stretch twill with a high, elasticated waist and slim legs.",2.99,7.64,9.99
664319001,Tiblisi paperwaist tapered,Black,Solid,Trousers,"Trousers in woven fabric with a high paper bag waist, side pockets, detachable tie belt and tapered legs.",10.99,12.74,14.99
664647001,Bruce Skinny Denim Trs,Black,Denim,Trousers,"5-pocket jeans in washed stretch denim with a regular waist, zip fly and skinny legs.",21.67,26.71,29.99
672127002,Valerie Wide Leg trousers,Black,Solid,Jersey Basic,"Trousers in viscose jersey with an elasticated waist, side pockets and straight, wide legs.",1.99,4.7,9.99
673799001,Bow paperwaist,Black,Solid,Trousers,"Ankle-length trousers in woven fabric with a high, elasticated waist, detachable tie belt, zip fly with a concealed hook-and-eye fastening, side pockets and tapered legs with creases.",3.59,12.99,19.99
676387001,Bobo,Black,Solid,Jersey Basic,Joggers in sturdy sweatshirt fabric with an elasticated drawstring waist and side pockets. Tapered legs with vertical seams and ribbed hems. Soft brushed inside.,9.99,17.13,19.99
705330001,Borat Sweatpants,Black,Solid,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated waist, side pockets and ribbed hems.",2.65,5.99,9.99
705330002,Borat Sweatpants,Black,Dot,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated waist, side pockets and ribbed hems.",2.49,8.39,9.99
705330003,Borat Sweatpants,Grey,Melange,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated waist, side pockets and ribbed hems.",2.99,7.99,9.99
706016006,Jade HW Skinny Denim TRS,Dark Blue,Solid,Trousers,"High-waisted jeans in washed superstretch denim with a zip fly and button, fake front pockets, real back pockets and super-skinny legs.",14.99,18.99,19.99
712587003,Bow HW paperwaist,Black,Solid,Trousers,"Trousers woven in a viscose blend with a high paper bag waist with pleats and a detachable tie belt. Zip fly with concealed hook-and-eye fasteners, side pockets and tapered legs.",1.99,10.99,19.99
719530004,Maja HW  WovenTRS,Greenish Khaki,Solid,Trousers,"Cargo trousers in stretch twill with a high waist, zip fly and button, fake front pockets, real back pockets and flap leg pockets with concealed press-studs.",2.01,15.99,19.99
